"seq";"sq_candidato";"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
"1";"250000733762";62197;51;"SUÉLLEN ROSIM";"PATRIOTA";"PATRIOTA";"Eleito";89725;55,98;427;"MUNICIPAL";"2";"11";694;694;0;694;0;694;0;270749;270749;0;270749;0;184113;86636;"0";160283;160283;7457;16373;16373;0;0;160283;0;0;184113
"2";"250001180711";62197;25;"DR RAUL";"DEM";"DEM - DEM / PSL / PP / MDB";"Não eleito";70558;44,02;427;"MUNICIPAL";"2";"11";694;694;0;694;0;694;0;270749;270749;0;270749;0;184113;86636;"0";160283;160283;7457;16373;16373;0;0;160283;0;0;184113
"2";"210000773335";85898;14;"LUIZ CARLOS BUSATO";"PTB";"PTB - PL / PDT / REDE / PTB / MDB / DEM";"Não eleito";72649;46,94;427;"MUNICIPAL";"2";"11";651;651;0;651;0;651;0;250704;250704;0;250704;0;171316;79388;"0";154786;154786;6602;9928;9928;0;0;154786;0;0;171316
"1";"210000636683";85898;55;"JAIRO JORGE";"PSD";"PSD - PSD / SOLIDARIEDADE / AVANTE / PV / PSB / PODE / PATRIOTA";"Eleito";82137;53,06;427;"MUNICIPAL";"2";"11";651;651;0;651;0;651;0;250704;250704;0;250704;0;171316;79388;"0";154786;154786;6602;9928;9928;0;0;154786;0;0;171316
"1";"80000713125";57037;19;"ARNALDINHO BORGO";"PODE";"PODE - PTC / SOLIDARIEDADE / PODE";"Eleito";138741;69,03;427;"MUNICIPAL";"2";"11";790;790;0;790;0;790;0;315224;315224;0;315224;0;224579;90645;"0";200977;200977;9809;13793;13793;0;0;200977;0;0;224579
"2";"80001132231";57037;45;"MAX FILHO";"PSDB";"PSDB - PSDB / PP / DC / PSB / DEM / PSC";"Não eleito";62236;30,97;427;"MUNICIPAL";"2";"11";790;790;0;790;0;790;0;315224;315224;0;315224;0;224579;90645;"0";200977;200977;9809;13793;13793;0;0;200977;0;0;224579
"1";"250000646894";68756;25;"LUCIANO ALMEIDA";"DEM";"DEM";"Eleito";85081;54,2;427;"MUNICIPAL";"2";"11";763;763;0;763;0;763;0;290998;290998;0;290998;0;190804;100194;"0";85081;156978;11931;21895;21895;0;0;85081;0;71897;190804
"2";"250000764875";68756;45;"BARJAS NEGRI";"PSDB";"PSDB - PP / PSC / SOLIDARIEDADE / PSDB / CIDADANIA / PODE / MDB / PSD / REPUBLICANOS / PTB";"Não eleito";71897;45,8;427;"MUNICIPAL";"2";"11";763;763;0;763;0;763;0;290998;290998;0;290998;0;190804;100194;"0";85081;156978;11931;21895;21895;0;0;85081;0;71897;190804
"2";"190000775861";59013;20;"LEO VIEIRA";"PSC";"PSC - SOLIDARIEDADE / PMN / PSC";"Não eleito";92788;43,17;427;"MUNICIPAL";"2";"11";986;986;0;986;0;986;0;376989;376989;0;376989;0;256496;120493;"0";214939;214939;10809;30748;30748;0;0;214939;0;0;256496
"1";"190000640057";59013;25;"DR JOÃO";"DEM";"DEM - PP / PDT / PODE** / PL / DEM / PTC / PV / PSDB / PATRIOTA / MDB / PSB";"Eleito";122151;56,83;427;"MUNICIPAL";"2";"11";986;986;0;986;0;986;0;376989;376989;0;376989;0;256496;120493;"0";214939;214939;10809;30748;30748;0;0;214939;0;0;256496
