"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1082;11;"DEMÉTRIO LIVAS";"PP";"PP - PP / PSL";"Não eleito";307;3,42;426;"MUNICIPAL";1;11;39;39;0;39;0;39;0;11388;11388;0;11388;0;9303;2085;0;8971;8971;38;294;294;0;0;8971;0;0;9303
1082;90;"JAILSON AMORIM";"PROS";"PROS - PROS / PSD / PDT / PC do B / PSDB";"Eleito";5977;66,63;426;"MUNICIPAL";1;11;39;39;0;39;0;39;0;11388;11388;0;11388;0;9303;2085;0;8971;8971;38;294;294;0;0;8971;0;0;9303
1082;50;"JAILSON EUGENIO";"PSOL";"PSOL";"Não eleito";4;0,04;426;"MUNICIPAL";1;11;39;39;0;39;0;39;0;11388;11388;0;11388;0;9303;2085;0;8971;8971;38;294;294;0;0;8971;0;0;9303
1090;13;"ISAAC LIMA";"PT";"PT - PT / REPUBLICANOS / PDT / PSD / PC do B";"Eleito";4115;54,32;426;"MUNICIPAL";1;11;42;42;0;42;0;42;0;13141;13141;0;13141;0;10964;2177;0;7575;7575;68;3321;280;3041;0;7575;0;0;10964
1090;15;"CHICÃO";"MDB";"MDB - MDB / PSDB / PL";"Não eleito";3460;45,68;426;"MUNICIPAL";1;11;42;42;0;42;0;42;0;13141;13141;0;13141;0;10964;2177;0;7575;7575;68;3321;280;3041;0;7575;0;0;10964
1104;13;"PROFESSORA NÁGELA";"PT";"PT - PSD / PT";"Não eleito";915;21,86;426;"MUNICIPAL";1;11;18;18;0;18;0;18;0;5209;5209;0;5209;0;4308;901;0;4186;4186;14;108;108;0;0;4186;0;0;4308
1104;65;"MARCEL RITHER";"PC do B";"PC do B - PC do B / PP";"Não eleito";768;18,35;426;"MUNICIPAL";1;11;18;18;0;18;0;18;0;5209;5209;0;5209;0;4308;901;0;4186;4186;14;108;108;0;0;4186;0;0;4308
1104;15;"ZEINA MELO";"MDB";"MDB - PSDB / MDB";"Não eleito";1053;25,16;426;"MUNICIPAL";1;11;18;18;0;18;0;18;0;5209;5209;0;5209;0;4308;901;0;4186;4186;14;108;108;0;0;4186;0;0;4308
1104;22;"JOÃO DA MANGUABA";"PL";"PL";"Não eleito";186;4,44;426;"MUNICIPAL";1;11;18;18;0;18;0;18;0;5209;5209;0;5209;0;4308;901;0;4186;4186;14;108;108;0;0;4186;0;0;4308
1104;12;"NAUDO RIBEIRO";"PDT";"PDT";"Eleito";1264;30,2;426;"MUNICIPAL";1;11;18;18;0;18;0;18;0;5209;5209;0;5209;0;4308;901;0;4186;4186;14;108;108;0;0;4186;0;0;4308
